,pb_lf
2015-01-05,2.9245
2015-01-06,2.9532
2015-01-07,2.9562
2015-01-08,2.9275
2015-01-09,2.9088
2015-01-12,2.8661
2015-01-13,2.9028
2015-01-14,2.8847
2015-01-15,2.9221
2015-01-16,2.9593
2015-01-19,2.829
2015-01-20,2.9295
2015-01-21,3.0066
2015-01-22,3.0475
2015-01-23,3.0201
2015-01-26,3.0859
2015-01-27,3.0925
2015-01-28,3.0737
2015-01-29,3.0547
2015-01-30,3.0196
2015-02-02,3.0019
2015-02-03,3.0501
2015-02-04,3.0396
2015-02-05,3.0244
2015-02-06,2.9573
2015-02-09,2.9413
2015-02-10,2.9735
2015-02-11,3.0012
2015-02-12,3.0219
2015-02-13,3.0669
2015-02-16,3.1158
2015-02-17,3.1354
2015-02-25,3.1319
2015-02-26,3.1622
2015-02-27,3.1845
2015-03-02,3.2471
2015-03-03,3.2362
2015-03-04,3.2839
2015-03-05,3.2802
2015-03-06,3.2416
2015-03-09,3.2832
2015-03-10,3.3147
2015-03-11,3.3052
2015-03-12,3.3
2015-03-13,3.335
2015-03-16,3.428
2015-03-17,3.4825
2015-03-18,3.5429
2015-03-19,3.5724
2015-03-20,3.607
2015-03-23,3.6898
2015-03-24,3.7064
2015-03-25,3.749
2015-03-26,3.7227
2015-03-27,3.7441
2015-03-30,3.7882
2015-03-31,3.788
2015-04-01,3.8755
2015-04-02,3.9421
2015-04-03,4.0017
2015-04-07,4.0986
2015-04-08,4.0701
2015-04-09,4.0359
2015-04-10,4.1297
2015-04-13,4.2107
2015-04-14,4.2132
2015-04-15,4.0507
2015-04-16,4.103
2015-04-17,4.1406
2015-04-20,4.0691
2015-04-21,4.1983
2015-04-22,4.3002
2015-04-23,4.3393
2015-04-24,4.335
2015-04-27,4.3698
2015-04-28,4.231
2015-04-29,4.2956
2015-04-30,4.2943
2015-05-04,4.3166
2015-05-05,4.1581
2015-05-06,4.0933
2015-05-07,4.0002
2015-05-08,4.1507
2015-05-11,4.3284
2015-05-12,4.4241
2015-05-13,4.4595
2015-05-14,4.4637
2015-05-15,4.426
2015-05-18,4.504
2015-05-19,4.6176
2015-05-20,4.6989
2015-05-21,4.8733
2015-05-22,4.9615
2015-05-25,5.0938
2015-05-26,5.2586
2015-05-27,5.3201
2015-05-28,5.0007
2015-05-29,5.0451
2015-06-01,5.3094
2015-06-02,5.5104
2015-06-03,5.5493
2015-06-04,5.5403
2015-06-05,5.6425
2015-06-08,5.5922
2015-06-09,5.5819
2015-06-10,5.6774
2015-06-11,5.7586
2015-06-12,5.859
2015-06-15,5.8859
2015-06-16,5.6525
2015-06-17,5.7718
2015-06-18,5.5824
2015-06-19,5.2033
2015-06-23,5.2414
2015-06-24,5.3633
2015-06-25,5.175
2015-06-26,4.7364
2015-06-29,4.4294
2015-06-30,4.6455
2015-07-01,4.3863
2015-07-02,4.0801
2015-07-03,3.8256
2015-07-06,3.7696
2015-07-07,3.5202
2015-07-08,3.4452
2015-07-09,3.6065
2015-07-10,3.7972
2015-07-13,4.0376
2015-07-14,4.1080000000000005
2015-07-15,3.8649
2015-07-16,3.9581
2015-07-17,4.1799
2015-07-20,4.2445
2015-07-21,4.2991
2015-07-22,4.3539
2015-07-23,4.4791
2015-07-24,4.4117
2015-07-27,4.074
2015-07-28,4.001
2015-07-29,4.2010000000000005
2015-07-30,4.074
2015-07-31,4.0360000000000005
