,pe_ttm
2015-01-05,37.915401
2015-01-06,38.302502
2015-01-07,38.354801
2015-01-08,38.098999
2015-01-09,37.878399
2015-01-12,37.322601
2015-01-13,37.830002
2015-01-14,37.6269
2015-01-15,38.161999
2015-01-16,38.666199
2015-01-19,37.013699
2015-01-20,38.329399
2015-01-21,39.312698
2015-01-22,39.844799
2015-01-23,39.477001
2015-01-26,40.337898
2015-01-27,40.465599
2015-01-28,40.1964
2015-01-29,39.936798
2015-01-30,39.4762
2015-02-02,39.346802
2015-02-03,40.0434
2015-02-04,39.932701
2015-02-05,39.744499
2015-02-06,38.902802
2015-02-09,38.689899
2015-02-10,39.2593
2015-02-11,39.732498
2015-02-12,40.0219
2015-02-13,40.557701
2015-02-16,41.177799
2015-02-17,41.230801
2015-02-25,41.184898
2015-02-26,41.612099
2015-02-27,41.877399
2015-03-02,42.8339
2015-03-03,42.7108
2015-03-04,43.3325
2015-03-05,43.319901
2015-03-06,42.822102
2015-03-09,43.376801
2015-03-10,43.781799
2015-03-11,43.630402
2015-03-12,43.653702
2015-03-13,43.9958
2015-03-16,45.203201
2015-03-17,45.985298
2015-03-18,46.829102
2015-03-19,47.161598
2015-03-20,47.919399
2015-03-23,49.226501
2015-03-24,48.854599
2015-03-25,49.330399
2015-03-26,49.016399
2015-03-27,49.7206
2015-03-30,49.801899
2015-03-31,50.072498
2015-04-01,51.3946
2015-04-02,52.347698
2015-04-03,53.232201
2015-04-07,54.4664
2015-04-08,54.081501
2015-04-09,53.6441
2015-04-10,55.192001
2015-04-13,56.4459
2015-04-14,56.458401
2015-04-15,53.984001
2015-04-16,54.50630200000001
2015-04-17,55.1665
2015-04-20,54.181198
2015-04-21,56.02920200000001
2015-04-22,56.876999
2015-04-23,57.916302
2015-04-24,58.6423
2015-04-27,59.285301
2015-04-28,57.526402
2015-04-29,59.4529
2015-04-30,60.838902
2015-05-04,61.235699
2015-05-05,58.9865
2015-05-06,58.062599
2015-05-07,56.735001
2015-05-08,58.8283
2015-05-11,61.344002
2015-05-12,62.690899
2015-05-13,63.2425
2015-05-14,63.295399
2015-05-15,62.815899
2015-05-18,63.975399
2015-05-19,65.624802
2015-05-20,66.776802
2015-05-21,69.269997
2015-05-22,70.496498
2015-05-25,72.375
2015-05-26,74.705704
2015-05-27,75.565598
2015-05-28,71.014198
2015-05-29,71.725998
2015-06-01,75.46970400000002
2015-06-02,78.301903
2015-06-03,78.83429699999998
2015-06-04,78.679901
2015-06-05,80.128304
2015-06-08,79.51080300000002
2015-06-09,79.351997
2015-06-10,80.676804
2015-06-11,81.7911
2015-06-12,83.241096
2015-06-15,78.540398
2015-06-16,75.404701
2015-06-17,76.949097
2015-06-18,74.36239599999998
2015-06-19,69.1996
2015-06-23,69.68710300000001
2015-06-24,71.309097
2015-06-25,68.801102
2015-06-26,62.978901
2015-06-29,58.899899
2015-06-30,61.8423
2015-07-01,58.382198
2015-07-02,54.340199
2015-07-03,50.978699
2015-07-06,50.297001
2015-07-07,46.940201
2015-07-08,45.931499
2015-07-09,48.061001
2015-07-10,50.5429
2015-07-13,53.787899
2015-07-14,54.684502
2015-07-15,51.512402
2015-07-16,52.732601
2015-07-17,55.676998
2015-07-20,56.566299
2015-07-21,57.235802
2015-07-22,57.853802
2015-07-23,59.481899
2015-07-24,58.691898
2015-07-27,54.305901
2015-07-28,53.376202
2015-07-29,56.0425
2015-07-30,54.418098
2015-07-31,53.787899
2015-08-03,52.564499
2015-08-04,55.451801
2015-08-05,54.700298
2015-08-06,54.068298
2015-08-07,55.710999
2015-08-10,58.106602
2015-08-11,58.419601
2015-08-12,57.475201
2015-08-13,58.8293
2015-08-14,59.343399
2015-08-17,60.705898
2015-08-18,56.309101
2015-08-19,57.483101
2015-08-20,55.322399
2015-08-21,52.235802
2015-08-24,47.793701
2015-08-25,43.985001
2015-08-26,42.388699
2015-08-27,44.046902
2015-08-28,47.2985
2015-08-31,45.370899
2015-09-01,42.493999
2015-09-02,42.300499
2015-09-07,42.3866
2015-09-08,43.980598
