,510800
2017-12-22,1.0003
2017-12-25,1.0003
2017-12-26,1.0003
2017-12-27,1.0003
2017-12-28,1.0003
2017-12-29,1.0009
2018-01-02,1.0012
2018-01-03,1.0012
2018-01-04,1.0012
2018-01-05,1.0017
2018-01-08,1.0021
2018-01-09,1.0021
2018-01-10,1.0021
2018-01-11,1.0021
2018-01-12,1.0096
2018-01-15,1.0196
2018-01-16,1.0244
2018-01-17,1.0283
2018-01-18,1.0383
2018-01-19,1.0419
2018-01-22,1.0459
2018-01-23,1.0612
2018-01-24,1.0624
2018-01-25,1.0548
2018-01-26,1.0602
2018-01-29,1.0429
2018-01-30,1.029
2018-01-31,1.0416
2018-02-01,1.0493
2018-02-02,1.0519
2018-02-05,1.0618
2018-02-06,1.0416
2018-02-07,1.0136
2018-02-08,0.9869
2018-02-09,0.9434
2018-02-12,0.9418
2018-02-13,0.9571
2018-02-14,0.9632
2018-02-22,0.9823
2018-02-23,0.9904
2018-02-26,0.9958
2018-02-27,0.9809
2018-02-28,0.9654
2018-03-01,0.9705
2018-03-02,0.9621
2018-03-05,0.9623
2018-03-06,0.9722
2018-03-07,0.9677
2018-03-08,0.9744
2018-03-09,0.9777
2018-03-12,0.9782
2018-03-13,0.9695
2018-03-14,0.9655
2018-03-15,0.9734
2018-03-16,0.9654
2018-03-19,0.9743
2018-03-20,0.9766
2018-03-21,0.9732
2018-03-22,0.9639
2018-03-23,0.9388
2018-03-26,0.9212
2018-03-27,0.9241
2018-03-28,0.9065
2018-03-29,0.9212
2018-03-30,0.9157
2018-04-02,0.9115
2018-04-03,0.9068
2018-04-04,0.9086
2018-04-09,0.913
2018-04-10,0.9349
2018-04-11,0.9365
2018-04-12,0.9248
2018-04-13,0.9171
2018-04-16,0.8966
2018-04-17,0.8869
2018-04-18,0.8932
2018-04-19,0.9029
2018-04-20,0.8915
2018-04-23,0.8975
2018-04-24,0.9171
2018-04-25,0.9107
2018-04-26,0.8987
2018-04-27,0.8947
2018-05-02,0.8942
2018-05-03,0.898
2018-05-04,0.8921
2018-05-07,0.9046
2018-05-08,0.9183
2018-05-09,0.9167
2018-05-10,0.9211
2018-05-11,0.9197
2018-05-14,0.9296
2018-05-15,0.9291
2018-05-16,0.918
2018-05-17,0.9131
2018-05-18,0.9269
2018-05-21,0.9291
2018-05-22,0.9236
2018-05-23,0.9092
2018-05-24,0.9037
2018-05-25,0.9042
2018-05-28,0.9089
2018-05-29,0.9064
2018-05-30,0.887
2018-05-31,0.9047
2018-06-01,0.901
2018-06-04,0.916
2018-06-05,0.9202
2018-06-06,0.9152
2018-06-07,0.9189
2018-06-08,0.9051
2018-06-11,0.9089
2018-06-12,0.9182
2018-06-13,0.9129
2018-06-14,0.913
2018-06-15,0.9153
2018-06-19,0.8923
2018-06-20,0.8924
2018-06-21,0.8861
2018-06-22,0.8879
2018-06-25,0.8718
2018-06-26,0.8618
2018-06-27,0.8435
2018-06-28,0.8347
2018-06-29,0.8544
2018-07-02,0.8225
2018-07-03,0.8238
2018-07-04,0.8170000000000001
2018-07-05,0.8195
2018-07-06,0.8294
2018-07-09,0.8535
2018-07-10,0.8538
2018-07-11,0.8407
2018-07-12,0.8579
2018-07-13,0.8609
2018-07-16,0.8531
2018-07-17,0.8487
2018-07-18,0.8458
2018-07-19,0.8476
2018-07-20,0.8712
2018-07-23,0.8827
2018-07-24,0.8956
2018-07-25,0.8958
2018-07-26,0.8846
2018-07-27,0.8833
2018-07-30,0.889
2018-07-31,0.8904
2018-08-01,0.8713
2018-08-02,0.8540000000000001
2018-08-03,0.8447
2018-08-06,0.8423
2018-08-07,0.8677
2018-08-08,0.8569
2018-08-09,0.8769
2018-08-10,0.8765
2018-08-13,0.8678
2018-08-14,0.8646
2018-08-15,0.8436
2018-08-16,0.8424
2018-08-17,0.8318
2018-08-20,0.8441
2018-08-21,0.8591
2018-08-22,0.8584
2018-08-23,0.8622
2018-08-24,0.8667
2018-08-27,0.8843
2018-08-28,0.8804
2018-08-29,0.8778
2018-08-30,0.8694
2018-08-31,0.868
2018-09-03,0.865
2018-09-04,0.8772
2018-09-05,0.8567
2018-09-06,0.8493
2018-09-07,0.8569
2018-09-10,0.8486
2018-09-11,0.8436
2018-09-12,0.838
2018-09-13,0.8498
2018-09-14,0.8534
2018-09-17,0.8444
2018-09-18,0.865
2018-09-19,0.8749
2018-09-20,0.8749
2018-09-21,0.9053
2018-09-25,0.8963
2018-09-26,0.9088
2018-09-27,0.9062
2018-09-28,0.9171
2018-10-08,0.8744
2018-10-09,0.8761
2018-10-10,0.8769
2018-10-11,0.8407
2018-10-12,0.8594
2018-10-15,0.8483
2018-10-16,0.8493
2018-10-17,0.8541
2018-10-18,0.833
2018-10-19,0.8601
2018-10-22,0.8928
2018-10-23,0.8664
2018-10-24,0.8709
2018-10-25,0.8735
2018-10-26,0.8679
2018-10-29,0.8401
2018-10-30,0.8492
2018-10-31,0.8617
2018-11-01,0.8649
2018-11-02,0.8938
2018-11-05,0.8829
2018-11-06,0.8787
2018-11-07,0.8726
2018-11-08,0.8738
2018-11-09,0.8557
2018-11-12,0.8593
2018-11-13,0.8656
2018-11-14,0.8540000000000001
2018-11-15,0.8645
2018-11-16,0.8655
2018-11-19,0.8763
2018-11-20,0.8606
2018-11-21,0.8622
2018-11-22,0.8576
2018-11-23,0.8443
2018-11-26,0.8452
2018-11-27,0.8425
2018-11-28,0.8518
2018-11-29,0.8451
2018-11-30,0.8542
2018-12-03,0.8752
2018-12-04,0.8779
2018-12-05,0.8729
2018-12-06,0.8563
2018-12-07,0.8549
2018-12-10,0.8471
2018-12-11,0.8495
2018-12-12,0.8522
2018-12-13,0.8643
2018-12-14,0.8521
2018-12-17,0.8526
2018-12-18,0.8427
2018-12-19,0.8328
2018-12-20,0.8207
2018-12-21,0.8106
2018-12-24,0.8117
2018-12-25,0.8075
2018-12-26,0.802
2018-12-27,0.8001
2018-12-28,0.8061
2019-01-02,0.795
2019-01-03,0.7974
2019-01-04,0.8132
2019-01-07,0.813
2019-01-08,0.8099
2019-01-09,0.8195
2019-01-10,0.8192
2019-01-11,0.8271
2019-01-14,0.8189
2019-01-15,0.8353
2019-01-16,0.8363
2019-01-17,0.8329
2019-01-18,0.8490000000000001
2019-01-21,0.8544
2019-01-22,0.8436
2019-01-23,0.8424
2019-01-24,0.8475
2019-01-25,0.858
2019-01-28,0.8563
2019-01-29,0.8629
2019-01-30,0.8574
2019-01-31,0.8724
2019-02-01,0.8781
2019-02-11,0.8875
2019-02-12,0.8896
2019-02-13,0.9061
2019-02-14,0.9046
2019-02-15,0.8841
2019-02-18,0.9069
2019-02-19,0.9055
2019-02-20,0.9087
2019-02-21,0.9048
2019-02-22,0.9209
2019-02-25,0.9783
2019-02-26,0.9595
2019-02-27,0.9652
2019-02-28,0.9631
2019-03-01,0.9896
2019-03-04,0.9944
2019-03-05,0.9933
2019-03-06,0.9975
2019-03-07,0.98
2019-03-08,0.9439
2019-03-11,0.9521
2019-03-12,0.956
2019-03-13,0.9574
2019-03-14,0.9591
2019-03-15,0.9685
2019-03-18,0.9926
2019-03-19,0.9863
2019-03-20,0.9882
2019-03-21,0.9847
2019-03-22,0.9821
2019-03-25,0.9551
2019-03-26,0.9508
2019-03-27,0.9632
2019-03-28,0.9606
2019-03-29,0.997
2019-04-01,1.0155
2019-04-02,1.0142
2019-04-03,1.0251
2019-04-04,1.0362
2019-04-08,1.0405
2019-04-09,1.0424
2019-04-10,1.0464
2019-04-11,1.0287
2019-04-12,1.0259
2019-04-15,1.0274
2019-04-16,1.0616
2019-04-17,1.0596
2019-04-18,1.0553
2019-04-19,1.0683
2019-04-22,1.0432
2019-04-23,1.046
2019-04-24,1.0447
2019-04-25,1.0284
2019-04-26,1.0161
2019-04-29,1.0324
2019-04-30,1.0344
2019-05-06,0.9852
2019-05-07,0.9856
2019-05-08,0.9689
2019-05-09,0.9479
2019-05-10,0.9812
2019-05-13,0.9628
2019-05-14,0.9571
2019-05-15,0.9778
2019-05-16,0.9813
2019-05-17,0.9617
2019-05-20,0.9547
2019-05-21,0.9633
2019-05-22,0.9585
2019-05-23,0.9468
2019-05-24,0.9524
2019-05-27,0.9601
2019-05-28,0.97
2019-05-29,0.9724
2019-05-30,0.9679
2019-05-31,0.9639
