,Last Price
2005-01-07,25.35
2005-01-14,25.833
2005-01-21,26.062
2005-01-28,25.75
2005-02-04,23.625
2005-02-11,23.208
2005-02-18,23.286
2005-02-25,23.688
2005-03-04,22.938
2005-03-11,22.714
2005-03-18,27.625
2005-03-25,30.125
2005-04-01,27.889
2005-04-08,26.438
2005-04-15,28.656
2005-04-22,28.0
2005-04-29,28.143
2005-05-06,27.312
2005-05-13,29.893
2005-05-20,30.688
2005-05-27,29.714
2005-06-03,29.786
2005-06-10,30.833
2005-06-17,30.0
2005-06-24,29.999
2005-07-01,30.124
2005-07-08,28.721
2005-07-15,26.0
2005-07-22,25.6
2005-07-29,26.286
2005-08-05,26.0
2005-08-12,26.083
2005-08-19,25.833
2005-08-26,25.55
2005-09-02,26.679
2005-09-09,26.281
2005-09-16,24.875
2005-09-23,25.15
2005-09-30,24.048
2005-10-07,23.235
2005-10-14,24.369
2005-10-21,23.001
2005-10-28,22.259
2005-11-04,22.074
2005-11-11,21.086
2005-11-18,20.748
2005-11-25,20.042
2005-12-02,18.928
2005-12-09,19.059
2005-12-16,19.0
2005-12-23,19.3
2005-12-30,19.125
2006-01-06,18.8
2006-01-13,18.375
2006-01-20,18.667
2006-01-27,17.917
2006-02-03,17.875
2006-02-10,17.4
2006-02-17,17.643
2006-02-24,17.833
2006-03-03,17.917
2006-03-10,18.417
2006-03-17,18.55
2006-03-24,20.4
2006-03-31,21.0
2006-04-07,20.9
2006-04-14,21.375
2006-04-21,21.857
2006-04-28,20.571
2006-05-05,20.625
2006-05-12,20.083
2006-05-19,21.214
2006-05-26,22.917
2006-06-02,21.75
2006-06-09,22.5
2006-06-16,22.083
2006-06-23,24.25
2006-06-30,24.464
2006-07-07,23.75
2006-07-14,23.0
2006-07-21,23.0
2006-07-28,21.0
2006-08-04,21.5
2006-08-11,21.5
2006-08-18,21.8
2006-08-25,21.333
2006-09-01,21.1
2006-09-08,20.25
2006-09-15,19.786
2006-09-22,20.0
2006-09-29,20.071
2006-10-06,19.75
2006-10-13,19.6
2006-10-20,18.167
2006-10-27,17.969
2006-11-03,17.0
2006-11-10,14.667
2006-11-17,14.417
2006-11-24,14.6
2006-12-01,14.375
2006-12-08,13.1
2006-12-15,12.875
2006-12-22,13.0
2006-12-29,12.5
2007-01-05,11.7
2007-01-12,12.429
2007-01-19,11.375
2007-01-26,11.0
2007-02-02,10.833
2007-02-09,10.6
2007-02-16,10.375
2007-02-23,10.55
2007-03-02,11.417
2007-03-09,11.15
2007-03-16,10.875
2007-03-23,10.958
2007-03-30,10.958
2007-04-06,11.5
2007-04-13,10.35
2007-04-20,10.562
2007-04-27,10.188
2007-05-04,10.8
2007-05-11,11.833
2007-05-18,12.083
2007-05-25,12.1
2007-06-01,12.25
2007-06-08,12.4
2007-06-15,12.792
2007-06-22,12.333
2007-06-29,12.417
2007-07-06,12.45
2007-07-13,13.25
2007-07-20,14.1
2007-07-27,18.9
2007-08-03,24.143
2007-08-10,23.833
2007-08-17,28.833
2007-08-24,26.833
2007-08-31,26.833
2007-09-07,25.5
2007-09-14,25.0
2007-09-21,20.833
2007-09-28,19.833
2007-10-05,20.667
2007-10-12,19.667
2007-10-19,20.833
2007-10-26,21.167
2007-11-02,21.167
2007-11-09,17.167
2007-11-16,29.0
2007-11-23,27.667
2007-11-30,22.167
2007-12-07,32.167
2007-12-14,29.0
2007-12-21,29.0
2007-12-28,28.75
2008-01-04,29.833
2008-01-11,41.5
2008-01-18,36.833
2008-01-25,54.102
2008-02-01,56.665
2008-02-08,58.987
2008-02-15,63.76600000000001
2008-02-22,66.33
2008-02-29,64.127
2008-03-07,71.59899999999998
2008-03-14,82.5
2008-03-21,83.404
2008-03-28,81.332
2008-04-04,64.266
2008-04-11,62.606
2008-04-18,54.5
2008-04-25,44.264
2008-05-02,41.662
2008-05-09,45.863
2008-05-16,41.5
2008-05-23,47.833
2008-05-30,49.833
2008-06-06,55.574
2008-06-13,66.462
2008-06-20,66.794
2008-06-27,71.457
2008-07-04,75.40100000000002
2008-07-11,70.53
2008-07-18,64.503
2008-07-25,55.03
2008-08-01,57.99800000000001
2008-08-08,61.597
2008-08-15,60.033
2008-08-22,65.566
2008-08-29,65.168
2008-09-05,65.396
2008-09-12,69.523
2008-09-19,78.561
2008-09-26,77.90899999999998
2008-10-03,92.688
2008-10-10,119.113
2008-10-17,117.982
2008-10-24,276.298
2008-10-31,161.089
2008-11-07,145.43200000000004
2008-11-14,172.77700000000004
2008-11-21,214.761
2008-11-28,166.91400000000004
2008-12-05,227.978
2008-12-12,230.0
2008-12-19,211.085
2008-12-26,203.208
2009-01-02,206.268
2009-01-09,163.236
2009-01-16,202.076
2009-01-23,217.582
2009-01-30,218.544
2009-02-06,216.596
2009-02-13,216.868
2009-02-20,244.117
2009-02-27,248.337
2009-03-06,245.269
2009-03-13,223.375
2009-03-20,189.784
2009-03-27,155.025
2009-04-03,152.53799999999995
2009-04-10,147.68200000000004
2009-04-17,136.086
2009-04-24,137.764
2009-05-01,126.248
2009-05-08,85.0
2009-05-15,97.488
2009-05-22,89.851
2009-05-29,88.117
2009-06-05,72.571
2009-06-12,72.944
2009-06-19,87.262
2009-06-26,78.712
2009-07-03,76.589
2009-07-10,83.413
2009-07-17,79.5
2009-07-24,63.63800000000001
2009-07-31,58.779
2009-08-07,63.534
2009-08-14,74.487
2009-08-21,82.92
2009-08-28,78.601
2009-09-04,85.08
2009-09-11,72.913
2009-09-18,65.62100000000001
2009-09-25,62.78100000000001
2009-10-02,74.308
2009-10-09,67.342
2009-10-16,66.247
2009-10-23,70.783
2009-10-30,79.168
2009-11-06,83.027
2009-11-13,82.554
2009-11-20,81.408
2009-11-27,87.581
2009-12-04,75.115
2009-12-11,74.227
2009-12-18,74.531
2009-12-25,72.658
2010-01-01,72.294
2010-01-08,66.615
2010-01-15,67.961
2010-01-22,80.192
2010-01-29,82.664
2010-02-05,90.494
2010-02-12,83.57799999999997
2010-02-19,81.399
2010-02-26,80.119
2010-03-05,65.574
2010-03-12,62.315
2010-03-19,62.06100000000001
2010-03-26,63.619
2010-04-02,63.238
2010-04-09,62.695
2010-04-16,60.398
2010-04-23,61.06800000000001
2010-04-30,66.337
2010-05-07,85.516
2010-05-14,74.554
2010-05-21,86.838
2010-05-28,80.87899999999998
2010-06-04,85.51100000000002
2010-06-11,92.897
2010-06-18,82.604
2010-06-25,89.10600000000002
2010-07-02,92.048
2010-07-09,82.708
2010-07-16,81.723
2010-07-23,79.462
2010-07-30,79.692
2010-08-06,81.486
2010-08-13,81.699
2010-08-20,82.042
2010-08-27,85.331
2010-09-03,80.169
2010-09-10,78.875
2010-09-17,75.298
2010-09-24,72.44
2010-10-01,71.938
2010-10-08,60.375
2010-10-15,56.383
2010-10-22,56.968
2010-10-29,63.365
2010-11-05,53.493
2010-11-12,60.262
2010-11-19,59.093
2010-11-26,73.678
2010-12-03,70.437
2010-12-10,70.518
2010-12-17,67.839
2010-12-24,68.252
2010-12-31,69.35
2011-01-07,74.15100000000002
2011-01-14,76.851
2011-01-21,78.146
2011-01-28,78.527
2011-02-04,76.727
2011-02-11,77.449
2011-02-18,75.512
2011-02-25,78.082
2011-03-04,75.84100000000002
2011-03-11,73.80199999999998
2011-03-18,73.792
2011-03-25,74.391
2011-04-01,71.007
2011-04-08,69.043
2011-04-15,71.556
2011-04-22,70.92
2011-04-29,70.031
2011-05-06,69.832
2011-05-13,70.57300000000002
2011-05-20,70.117
2011-05-27,73.054
2011-06-03,76.71
2011-06-10,79.01100000000002
2011-06-17,77.168
