,H00905
2015-01-05,5832.3982
2015-01-06,5900.1134
2015-01-07,5909.1331
2015-01-08,5861.5387
2015-01-09,5823.8775
2015-01-12,5741.1473
2015-01-13,5819.6056
2015-01-14,5792.308000000001
2015-01-15,5866.9234
2015-01-16,5943.4599
2015-01-19,5686.9623
2015-01-20,5892.1994
2015-01-21,6042.0528
2015-01-22,6126.5321
2015-01-23,6065.3045
2015-01-26,6200.6923
2015-01-27,6216.6665
2015-01-28,6180.1702
2015-01-29,6138.486
2015-01-30,6064.7572
2015-02-02,6039.6284
2015-02-03,6145.2388
2015-02-04,6119.4441
2015-02-05,6087.8945
2015-02-06,5959.302
2015-02-09,5927.2043
2015-02-10,6008.7433
2015-02-11,6074.5104
2015-02-12,6117.0991
2015-02-13,6211.7745
2015-02-16,6319.9188
2015-02-17,6364.4778
2015-02-25,6359.568
2015-02-26,6427.4208
2015-02-27,6480.078
2015-03-02,6610.7131
2015-03-03,6587.9561
2015-03-04,6686.7597
2015-03-05,6685.2163
2015-03-06,6603.4276
2015-03-09,6688.7131
2015-03-10,6757.8906
2015-03-11,6743.2545
2015-03-12,6740.2888
2015-03-13,6815.0537
2015-03-16,7016.5999
2015-03-17,7125.658
2015-03-18,7244.1092
2015-03-19,7302.825
2015-03-20,7376.6075
2015-03-23,7555.6445
2015-03-24,7586.8356
2015-03-25,7671.6277
2015-03-26,7617.3582
2015-03-27,7705.1224
2015-03-30,7801.5462
2015-03-31,7809.7375
2015-04-01,7995.903
2015-04-02,8141.1768
2015-04-03,8268.6275
2015-04-07,8467.8132
2015-04-08,8408.4353
2015-04-09,8341.9281
2015-04-10,8564.2215
2015-04-13,8748.0642
2015-04-14,8744.9036
2015-04-15,8403.4286
2015-04-16,8521.4354
2015-04-17,8595.3961
2015-04-20,8443.6885
2015-04-21,8737.565
2015-04-22,8964.9754
2015-04-23,9059.1827
2015-04-24,9068.7527
2015-04-27,9170.079
2015-04-28,8904.8213
2015-04-29,9079.3844
2015-04-30,9124.8604
2015-05-04,9168.943
2015-05-05,8833.809000000001
2015-05-06,8708.591
2015-05-07,8515.465
2015-05-08,8838.2073
2015-05-11,9222.9905
2015-05-12,9425.3309
2015-05-13,9510.7536
2015-05-14,9498.5729
2015-05-15,9422.8222
2015-05-18,9596.6359
2015-05-19,9835.3655
2015-05-20,9999.8575
2015-05-21,10369.0451
2015-05-22,10541.1891
2015-05-25,10823.5652
2015-05-26,11183.5123
2015-05-27,11317.9105
2015-05-28,10641.4552
2015-05-29,10748.7453
2015-06-01,11311.4588
2015-06-02,11741.4849
2015-06-03,11843.0053
2015-06-04,11827.8629
2015-06-05,12021.145
2015-06-08,11899.1356
2015-06-09,11880.8789
2015-06-10,12091.4953
2015-06-11,12263.2428
2015-06-12,12458.591
2015-06-15,12229.1463
2015-06-16,11740.7029
2015-06-17,11980.0837
2015-06-18,11583.4046
2015-06-19,10783.4836
2015-06-23,10848.1741
2015-06-24,11086.7449
2015-06-25,10696.8249
2015-06-26,9804.0957
2015-06-29,9164.1328
2015-06-30,9619.7353
2015-07-01,9086.383
2015-07-02,8463.5399
2015-07-03,7945.9723
2015-07-06,7817.4917
2015-07-07,7307.5037
2015-07-08,7133.7568
2015-07-09,7452.4996
2015-07-10,7830.7656
2015-07-13,8318.3726
2015-07-14,8495.4008
2015-07-15,8005.0413
2015-07-16,8193.3111
2015-07-17,8643.4165
2015-07-20,8775.1559
2015-07-21,8887.7266
2015-07-22,8996.4543
2015-07-23,9247.9225
2015-07-24,9110.7277
2015-07-27,8428.5404
2015-07-28,8272.4301
2015-07-29,8676.1638
2015-07-30,8435.9097
2015-07-31,8356.8323
2015-08-03,8154.7476
2015-08-04,8589.5551
2015-08-05,8478.4376
2015-08-06,8427.5017
2015-08-07,8666.9702
2015-08-10,9078.9256
2015-08-11,9123.5312
2015-08-12,9016.4645
2015-08-13,9230.7895
2015-08-14,9329.0304
2015-08-17,9540.1736
2015-08-18,8827.2236
2015-08-19,9022.3619
2015-08-20,8707.0803
2015-08-21,8234.989
2015-08-24,7578.7341
2015-08-25,7011.2481
2015-08-26,6748.5069
2015-08-27,6983.8185
2015-08-28,7402.4223
2015-08-31,7119.4524
2015-09-01,6673.6911
2015-09-02,6623.2221
2015-09-07,6645.9429
2015-09-08,6896.1557
2015-09-09,7086.7456
2015-09-10,6966.9949
2015-09-11,7024.3399
2015-09-14,6544.5396
2015-09-15,6174.83
2015-09-16,6582.4519
2015-09-17,6453.2947
2015-09-18,6530.6125
2015-09-21,6761.6364
2015-09-22,6810.8431
2015-09-23,6733.6845
2015-09-24,6831.8444
2015-09-25,6608.1947
2015-09-28,6728.6183
2015-09-29,6603.0336
2015-09-30,6625.0559
2015-10-08,6894.1865
2015-10-09,6999.7323
2015-10-12,7268.7609
2015-10-13,7358.9396
2015-10-14,7275.0071
2015-10-15,7496.5103
2015-10-16,7624.5194
2015-10-19,7624.3159
2015-10-20,7748.4099
2015-10-21,7262.2875
2015-10-22,7534.4408
2015-10-23,7722.6172
2015-10-26,7775.1098
2015-10-27,7823.449
2015-10-28,7625.964
2015-10-29,7690.9621
2015-10-30,7664.9928
2015-11-02,7504.2933
2015-11-03,7486.628000000002
2015-11-04,7862.9936
2015-11-05,7872.1485
2015-11-06,8056.4949
2015-11-09,8161.3866
2015-11-10,8195.1483
2015-11-11,8313.7832
2015-11-12,8311.3876
2015-11-13,8188.8505
2015-11-16,8353.0654
2015-11-17,8278.9653
2015-11-18,8145.384
2015-11-19,8352.8131
2015-11-20,8447.7337
2015-11-23,8380.5488
2015-11-24,8439.3274
2015-11-25,8573.3943
2015-11-26,8521.1205
2015-11-27,7982.2464
2015-11-30,8017.1730000000025
2015-12-01,8055.6403
2015-12-02,8014.4251
2015-12-03,8192.6029
2015-12-04,8128.9356
2015-12-07,8226.9293
2015-12-08,8012.5664
2015-12-09,7980.2442
2015-12-10,7954.2023
2015-12-11,7889.8042
2015-12-14,8052.4857
2015-12-15,8114.3331
2015-12-16,8148.1203
2015-12-17,8350.317
2015-12-18,8332.0542
2015-12-21,8428.5775
2015-12-22,8502.2132
2015-12-23,8412.0404
2015-12-24,8390.1309
2015-12-25,8432.4306
2015-12-28,8228.1558
2015-12-29,8305.0196
2015-12-30,8377.1562
2015-12-31,8243.6613
2016-01-04,7557.2552
2016-01-05,7455.8957
2016-01-06,7646.2125
2016-01-07,6993.268
2016-01-08,7110.3471
2016-01-11,6632.269
2016-01-12,6640.9344
2016-01-13,6410.8436
2016-01-14,6628.1182
2016-01-15,6377.986
2016-01-18,6470.2154
2016-01-19,6706.3317
2016-01-20,6642.9255
2016-01-21,6370.6294
2016-01-22,6472.0589
2016-01-25,6537.7631
2016-01-26,6048.5998
2016-01-27,5967.3088
2016-01-28,5704.3882
2016-01-29,5918.5426
2016-02-01,5843.1711
2016-02-02,6045.6994
2016-02-03,6071.181
2016-02-04,6191.6399
2016-02-05,6129.6441
2016-02-15,6133.8025
2016-02-16,6387.566
2016-02-17,6462.1042
2016-02-18,6446.6489
2016-02-19,6470.8743
2016-02-22,6605.2868
2016-02-23,6569.3341
2016-02-24,6613.2086
2016-02-25,6088.3646
2016-02-26,6113.1307
2016-02-29,5790.0977
2016-03-01,5923.4227
2016-03-02,6225.9046
2016-03-03,6251.6915
2016-03-04,6083.5049
2016-03-07,6225.2553
2016-03-08,6238.0001
2016-03-09,6078.6093
2016-03-10,5975.7059
2016-03-11,5961.6742
2016-03-14,6158.2062
2016-03-15,6103.2434
2016-03-16,6019.9189
2016-03-17,6218.3546
2016-03-18,6438.3547
2016-03-21,6600.922
2016-03-22,6574.9616
2016-03-23,6622.0099
2016-03-24,6513.2019999999975
2016-03-25,6577.0601
2016-03-28,6534.1472
2016-03-29,6408.7115
2016-03-30,6642.0755
2016-03-31,6661.8912
2016-04-01,6628.0331
2016-04-05,6803.4906
2016-04-06,6843.4116
2016-04-07,6741.1836
2016-04-08,6676.0474
2016-04-11,6822.754
2016-04-12,6767.1476
2016-04-13,6866.8226
2016-04-14,6929.2454
2016-04-15,6910.2984
2016-04-18,6798.6538
2016-04-19,6828.0509
2016-04-20,6518.7641
2016-04-21,6463.0214
2016-04-22,6507.0105
