,SH_5100501MSF
2015-02-09,2.3164
2015-02-10,2.358
2015-02-11,2.3794
2015-02-12,2.3848
2015-02-13,2.3922
2015-02-16,2.3998
2015-02-17,2.4132
2015-02-25,2.3724
2015-02-26,2.4465
2015-02-27,2.4405
2015-03-02,2.4436
2015-03-03,2.369
2015-03-04,2.3678
2015-03-05,2.3355
2015-03-06,2.3416
2015-03-09,2.3942
2015-03-10,2.3622
2015-03-11,2.3711
2015-03-12,2.4444
2015-03-13,2.4524
2015-03-16,2.5056
2015-03-17,2.536
2015-03-18,2.6054
2015-03-19,2.5853
2015-03-20,2.6352
2015-03-23,2.6731
2015-03-24,2.641
2015-03-25,2.641
2015-03-26,2.6369
2015-03-27,2.6501
2015-03-30,2.7411
2015-03-31,2.7149
2015-04-01,2.756
2015-04-02,2.7441
2015-04-03,2.7725
2015-04-07,2.8328
2015-04-08,2.8974
2015-04-09,2.8879
2015-04-10,2.9466
2015-04-13,2.9915
2015-04-14,2.9960000000000004
2015-04-15,3.0225
2015-04-16,3.1402
2015-04-17,3.1865
2015-04-20,3.1073
2015-04-21,3.1348
2015-04-22,3.1348
2015-04-23,3.2289
2015-04-24,3.1815
2015-04-27,3.2581
2015-04-28,3.2303
2015-04-29,3.2354
2015-04-30,3.212
2015-05-04,3.2194
2015-05-05,3.1037
2015-05-06,3.0832
2015-05-07,3.0647
2015-05-08,3.0723
2015-05-11,3.1136
2015-05-12,3.1329
2015-05-13,3.0902
2015-05-14,3.0758
2015-05-15,3.0164
2015-05-18,2.9512
2015-05-19,3.0732
2015-05-20,3.0704
2015-05-21,3.1059
2015-05-22,3.2006
2015-05-25,3.3007
2015-05-26,3.3194
2015-05-27,3.3194
2015-05-28,3.0938
2015-05-29,3.0832
2015-06-01,3.2317
2015-06-02,3.2535
2015-06-03,3.2118
2015-06-04,3.273
2015-06-05,3.2754
2015-06-08,3.4329
2015-06-09,3.3816
2015-06-10,3.346
2015-06-11,3.3191
2015-06-12,3.3188
2015-06-15,3.232
2015-06-16,3.152
2015-06-17,3.1807
2015-06-18,3.0492
2015-06-19,2.9047
2015-06-23,2.9897
2015-06-24,2.9897
2015-06-25,2.9582
2015-06-26,2.7308
2015-06-29,2.6616
2015-06-30,2.8676
2015-07-01,2.7544
2015-07-02,2.7065
2015-07-03,2.6185
2015-07-06,2.7579
2015-07-07,2.784
2015-07-08,2.5167
2015-07-09,2.7719
2015-07-10,2.8796
2015-07-13,2.8446
2015-07-14,2.7301
2015-07-15,2.6956
2015-07-16,2.7268
2015-07-17,2.797
2015-07-20,2.7614
2015-07-21,2.7463
2015-07-22,2.7463
2015-07-23,2.7506
2015-07-24,2.6897
2015-07-27,2.461
2015-07-28,2.4738
2015-07-29,2.5148
2015-07-30,2.3969
2015-07-31,2.4185
2015-08-03,2.4223
2015-08-04,2.5143
2015-08-05,2.4633
2015-08-06,2.4518
2015-08-07,2.5033
2015-08-10,2.5973
2015-08-11,2.5801
2015-08-12,2.5588
2015-08-13,2.5584
2015-08-14,2.5439
2015-08-17,2.4994
2015-08-18,2.3597
2015-08-19,2.3919
2015-08-20,2.361
2015-08-21,2.2633
2015-08-24,1.9463
2015-08-25,1.8799
2015-08-26,1.8799
2015-08-27,2.0124
2015-08-28,2.0585
2015-08-31,2.0538
2015-09-01,2.0448
2015-09-02,2.0293
2015-09-07,2.062
2015-09-08,2.1557
2015-09-09,2.182
2015-09-10,2.1863
2015-09-11,2.1909
2015-09-14,2.1405
2015-09-15,2.1386
2015-09-16,2.2312
2015-09-17,2.1926
2015-09-18,2.1928
2015-09-21,2.2074
2015-09-22,2.2424
2015-09-23,2.2424
2015-09-24,2.162
2015-09-25,2.1361
2015-09-28,2.1478
2015-09-29,2.0949
2015-09-30,2.1294
2015-10-08,2.1834
2015-10-09,2.2071
2015-10-12,2.2841
2015-10-13,2.2737
2015-10-14,2.2564
2015-10-15,2.2989
2015-10-16,2.3093
2015-10-19,2.3031
2015-10-20,2.3146
2015-10-21,2.3016
2015-10-22,2.3251
2015-10-23,2.3413
2015-10-26,2.3484
2015-10-27,2.3472
2015-10-28,2.3472
2015-10-29,2.2859
2015-10-30,2.2966
2015-11-02,2.2746
2015-11-03,2.2625
2015-11-04,2.3677
2015-11-05,2.4236
2015-11-06,2.4871
2015-11-09,2.5277
2015-11-10,2.5094
2015-11-11,2.4981
2015-11-12,2.4694
2015-11-13,2.4449
2015-11-16,2.4457
2015-11-17,2.4398
2015-11-18,2.4292
2015-11-19,2.4689
2015-11-20,2.464
2015-11-23,2.4459
2015-11-24,2.441
2015-11-25,2.441
2015-11-26,2.4342
2015-11-27,2.3215
2015-11-30,2.3257
2015-12-01,2.3353
2015-12-02,2.4404
2015-12-03,2.4415
2015-12-04,2.3919
2015-12-07,2.3847
2015-12-08,2.3463
2015-12-09,2.3584
2015-12-10,2.3451
2015-12-11,2.3437
2015-12-14,2.4166
2015-12-15,2.3792
2015-12-16,2.3778
2015-12-17,2.4017
2015-12-18,2.4155
2015-12-21,2.4915
2015-12-22,2.4896
2015-12-23,2.4896
2015-12-24,2.4679
2015-12-25,2.485
2015-12-28,2.4163
2015-12-29,2.4297
2015-12-30,2.4243
2015-12-31,2.4127
2016-01-04,2.2636
2016-01-05,2.2779
2016-01-06,2.2916
2016-01-07,2.1696
2016-01-08,2.2022
2016-01-11,2.1151
2016-01-12,2.1257
2016-01-13,2.1087
2016-01-14,2.1305
2016-01-15,2.0705
2016-01-18,2.0643
2016-01-19,2.1185
2016-01-20,2.0753
2016-01-21,2.0252
2016-01-22,2.0628
2016-01-25,2.0605
2016-01-26,1.9573
2016-01-27,1.9573
2016-01-28,1.9013
2016-01-29,1.9586
2016-02-01,1.9295
2016-02-02,1.9651
2016-02-03,1.947
2016-02-04,1.966
2016-02-05,1.9549
2016-02-15,1.9386
2016-02-16,1.9887
2016-02-17,2.0047
2016-02-18,2.0016
2016-02-19,2.0058
2016-02-22,2.0503
2016-02-23,2.0325
2016-02-24,2.0325
2016-02-25,1.9223
2016-02-26,1.9356
2016-02-29,1.9108
2016-03-01,1.951
2016-03-02,2.0248
2016-03-03,2.0294
2016-03-04,2.0871
