,SH_510050IV
2015-02-09,25.5766
2015-02-10,26.0522
2015-02-11,23.77
2015-02-12,23.2976
2015-02-13,21.0643
2015-02-16,21.2578
2015-02-17,21.7827
2015-02-25,23.6263
2015-02-26,22.7079
2015-02-27,24.4051
2015-03-02,25.3686
2015-03-03,25.704
2015-03-04,24.9784
2015-03-05,24.0843
2015-03-06,23.7995
2015-03-09,24.3054
2015-03-10,23.6428
2015-03-11,23.2264
2015-03-12,22.5659
2015-03-13,22.6453
2015-03-16,22.2956
2015-03-17,22.7214
2015-03-18,22.5087
2015-03-19,24.8459
2015-03-20,24.0734
2015-03-23,26.458
2015-03-24,28.3362
2015-03-25,27.6213
2015-03-26,26.296
2015-03-27,26.6427
2015-03-30,24.7686
2015-03-31,27.7171
2015-04-01,27.697
2015-04-02,29.3985
2015-04-03,28.6366
2015-04-07,26.4985
2015-04-08,29.51
2015-04-09,32.733000000000004
2015-04-10,30.8257
2015-04-13,34.6978
2015-04-14,37.0924
2015-04-15,36.5273
2015-04-16,34.2076
2015-04-17,37.2902
2015-04-20,44.0312
2015-04-21,43.0289
2015-04-22,39.8703
2015-04-23,40.8977
2015-04-24,41.5411
2015-04-27,40.7256
2015-04-28,42.6438
2015-04-29,42.3884
2015-04-30,42.5211
2015-05-04,42.3994
2015-05-05,41.719
2015-05-06,41.9152
2015-05-07,43.0173
2015-05-08,42.5133
2015-05-11,42.0594
2015-05-12,42.1387
2015-05-13,42.2263
2015-05-14,41.2868
2015-05-15,37.5773
2015-05-18,34.3502
2015-05-19,35.1766
2015-05-20,37.9979
2015-05-21,38.4628
2015-05-22,39.155
2015-05-25,41.6506
2015-05-26,41.4506
2015-05-27,42.952
2015-05-28,42.2012
2015-05-29,43.0281
2015-06-01,42.2372
2015-06-02,43.2871
2015-06-03,43.5156
2015-06-04,42.2309
2015-06-05,42.2223
2015-06-08,38.8507
2015-06-09,43.2499
2015-06-10,44.0627
2015-06-11,45.5046
2015-06-12,45.4741
2015-06-15,43.9345
2015-06-16,42.7642
2015-06-17,42.8885
2015-06-18,42.7222
2015-06-19,43.3491
2015-06-23,48.5545
2015-06-24,48.8722
2015-06-25,43.5721
2015-06-26,44.8123
2015-06-29,56.8606
2015-06-30,56.7129
2015-07-01,53.9191
2015-07-02,54.928
2015-07-03,52.3493
2015-07-06,57.1724
2015-07-07,52.5738
2015-07-08,48.8888
2015-07-09,52.4644
2015-07-10,51.5169
2015-07-13,50.7717
2015-07-14,47.1499
2015-07-15,42.9354
2015-07-16,38.9959
2015-07-17,37.3739
2015-07-20,36.5897
2015-07-21,36.7955
2015-07-22,32.9351
2015-07-23,31.0533
2015-07-24,30.8336
2015-07-27,26.5747
2015-07-28,36.9601
2015-07-29,39.1408
2015-07-30,34.5396
2015-07-31,37.5351
2015-08-03,37.9994
2015-08-04,37.7571
2015-08-05,37.8343
2015-08-06,39.0986
2015-08-07,38.5066
2015-08-10,38.2625
2015-08-11,38.0763
2015-08-12,37.668
2015-08-13,37.4533
2015-08-14,37.4754
2015-08-17,37.4391
2015-08-18,34.5834
2015-08-19,35.0065
2015-08-20,34.5807
2015-08-21,31.8745
2015-08-24,22.1948
2015-08-25,40.2195
2015-08-26,59.6773
2015-08-27,57.0605
2015-08-28,57.5595
2015-08-31,58.6295
2015-09-01,59.4807
2015-09-02,57.0176
2015-09-07,55.8973
2015-09-08,45.1106
2015-09-09,42.9524
2015-09-10,39.114
2015-09-11,38.223
2015-09-14,39.7067
2015-09-15,41.9066
2015-09-16,38.4505
2015-09-17,37.7069
2015-09-18,37.7578
2015-09-21,37.1984
2015-09-22,34.4711
2015-09-23,36.0483
2015-09-24,35.0307
2015-09-25,32.0813
2015-09-28,29.1098
2015-09-29,27.9657
2015-09-30,27.7267
2015-10-08,28.5139
2015-10-09,27.03
2015-10-12,26.2479
2015-10-13,29.0676
2015-10-14,28.8853
2015-10-15,26.7315
2015-10-16,26.5393
2015-10-19,27.5162
2015-10-20,28.2052
2015-10-21,29.9567
2015-10-22,29.1719
2015-10-23,28.053
2015-10-26,29.6393
2015-10-27,28.4653
2015-10-28,29.15
2015-10-29,29.1634
2015-10-30,26.5802
2015-11-02,27.4991
2015-11-03,27.6184
2015-11-04,27.3857
2015-11-05,29.7691
2015-11-06,30.1135
2015-11-09,39.8971
2015-11-10,41.0121
2015-11-11,37.5957
2015-11-12,36.5814
2015-11-13,35.7216
2015-11-16,36.2572
2015-11-17,35.654
2015-11-18,34.8052
2015-11-19,33.9468
2015-11-20,31.9264
2015-11-23,30.8851
2015-11-24,29.6303
2015-11-25,30.0034
2015-11-26,27.1352
2015-11-27,31.4799
2015-11-30,31.7493
2015-12-01,31.0442
2015-12-02,29.5496
2015-12-03,29.916
2015-12-04,29.7423
2015-12-07,28.9331
2015-12-08,28.7099
2015-12-09,28.3761
2015-12-10,28.1377
2015-12-11,28.0484
2015-12-14,28.2723
2015-12-15,27.5953
2015-12-16,27.3009
2015-12-17,26.0595
2015-12-18,23.6079
2015-12-21,23.8422
2015-12-22,25.3667
2015-12-23,25.7792
2015-12-24,24.7999
2015-12-25,23.8739
2015-12-28,25.3625
2015-12-29,24.7127
2015-12-30,24.8679
2015-12-31,25.2856
2016-01-04,25.9519
2016-01-05,29.27
2016-01-06,28.6653
2016-01-07,24.546
2016-01-08,32.1989
2016-01-11,29.9966
2016-01-12,32.6354
2016-01-13,31.3936
2016-01-14,34.586
2016-01-15,31.7464
2016-01-18,33.9951
2016-01-19,34.2095
2016-01-20,33.6656
2016-01-21,31.4075
2016-01-22,31.8075
2016-01-25,31.5233
2016-01-26,27.6064
2016-01-27,35.2906
2016-01-28,34.1525
2016-01-29,35.4985
2016-02-01,33.2271
2016-02-02,32.249
2016-02-03,31.7867
2016-02-04,31.5809
2016-02-05,32.3572
2016-02-15,34.3354
2016-02-16,33.6269
2016-02-17,32.6674
2016-02-18,30.8267
2016-02-19,29.436
2016-02-22,28.6106
2016-02-23,29.4757
2016-02-24,29.6339
2016-02-25,29.0163
2016-02-26,29.1989
2016-02-29,29.0617
2016-03-01,28.25800000000001
2016-03-02,29.4951
2016-03-03,30.0452
2016-03-04,29.8209
2016-03-07,30.8884
2016-03-08,30.5349
2016-03-09,30.4645
2016-03-10,30.6373
2016-03-11,30.5862
2016-03-14,30.2609
2016-03-15,29.7779
2016-03-16,29.0948
2016-03-17,28.5732
2016-03-18,28.5701
2016-03-21,28.7403
2016-03-22,30.4567
2016-03-23,31.3115
2016-03-24,30.1622
2016-03-25,28.1398
2016-03-28,28.2761
2016-03-29,28.1981
2016-03-30,27.5854
2016-03-31,27.9515
2016-04-01,27.5187
2016-04-05,26.9956
2016-04-06,26.9856
2016-04-07,25.798
2016-04-08,24.7159
2016-04-11,24.4392
2016-04-12,23.7073
2016-04-13,23.5367
2016-04-14,23.0172
2016-04-15,23.0531
2016-04-18,23.2486
2016-04-19,22.6027
2016-04-20,22.8543
2016-04-21,22.1956
2016-04-22,21.7259
2016-04-25,22.2521
2016-04-26,22.7631
2016-04-27,22.7251
2016-04-28,21.7004
2016-04-29,20.9169
2016-05-03,20.831
2016-05-04,20.2612
2016-05-05,19.9729
2016-05-06,20.7195
2016-05-09,23.4069
2016-05-10,22.204
2016-05-11,20.8486
2016-05-12,20.9038
2016-05-13,20.2494
2016-05-16,19.9527
2016-05-17,19.5044
2016-05-18,19.535
2016-05-19,18.7581
2016-05-20,18.0056
2016-05-23,17.2337
2016-05-24,17.0298
2016-05-25,17.6894
2016-05-26,16.1426
2016-05-27,15.5858
2016-05-30,15.8962
2016-05-31,18.325
2016-06-01,18.2731
2016-06-02,18.0238
2016-06-03,18.131
2016-06-06,18.3041
2016-06-07,18.0881
2016-06-08,18.4054
2016-06-13,19.6457
2016-06-14,19.1169
2016-06-15,17.0573
2016-06-16,16.5768
2016-06-17,16.0093
2016-06-20,16.7645
2016-06-21,16.6818
2016-06-22,17.2182
2016-06-23,17.6318
2016-06-24,18.0165
2016-06-27,17.6715
2016-06-28,16.7849
2016-06-29,16.2502
2016-06-30,15.8492
2016-07-01,15.6112
2016-07-04,15.443
2016-07-05,15.9271
2016-07-06,15.927
2016-07-07,16.5824
2016-07-08,16.6224
2016-07-11,16.3399
2016-07-12,16.0034
2016-07-13,17.1261
2016-07-14,16.9418
2016-07-15,17.0527
2016-07-18,17.7496
2016-07-19,17.7232
2016-07-20,17.6743
2016-07-21,17.7395
2016-07-22,17.4832
2016-07-25,17.2374
2016-07-26,16.8131
2016-07-27,17.465999999999998
2016-07-28,16.3702
2016-07-29,16.1682
2016-08-01,16.243
2016-08-02,15.7319
2016-08-03,15.3193
2016-08-04,15.0329
2016-08-05,14.683
2016-08-08,14.647
2016-08-09,14.1952
2016-08-10,14.2398
2016-08-11,14.3343
2016-08-12,14.3703
2016-08-15,16.5851
2016-08-16,16.7916
2016-08-17,16.9729
2016-08-18,17.1363
2016-08-19,17.2347
2016-08-22,17.4401
2016-08-23,17.1108
2016-08-24,17.1632
2016-08-25,17.2954
2016-08-26,17.2144
2016-08-29,17.6982
2016-08-30,17.5677
2016-08-31,17.855
2016-09-01,17.838
2016-09-02,17.8042
2016-09-05,17.6664
2016-09-06,17.527
2016-09-07,17.5147
2016-09-08,17.0551
2016-09-09,16.0697
2016-09-12,16.3112
2016-09-13,14.9971
2016-09-14,14.9778
2016-09-19,14.8831
2016-09-20,14.5018
