,SH_510050SKEW
2015-02-09,103.6724
2015-02-10,103.1998
2015-02-11,103.1998
2015-02-12,103.1476
2015-02-13,104.8854
2015-02-16,104.5857
2015-02-17,106.3172
2015-02-25,102.7412
2015-02-26,102.7412
2015-02-27,104.5541
2015-03-02,104.3595
2015-03-03,100.1957
2015-03-04,100.2578
2015-03-05,98.2497
2015-03-06,98.8833
2015-03-09,102.2397
2015-03-10,100.5052
2015-03-11,101.1997
2015-03-12,105.1956
2015-03-13,105.3618
2015-03-16,105.3618
2015-03-17,105.3618
2015-03-18,105.3618
2015-03-19,107.5417
2015-03-20,107.5417
2015-03-23,107.5417
2015-03-24,105.5863
2015-03-25,103.5512
2015-03-26,103.5512
2015-03-27,104.6119
2015-03-30,104.6119
2015-03-31,104.9428
2015-04-01,107.5754
2015-04-02,106.3403
2015-04-03,106.3403
2015-04-07,106.3403
2015-04-08,106.3403
2015-04-09,107.5091
2015-04-10,107.5091
2015-04-13,107.5091
2015-04-14,103.2718
2015-04-15,104.5232
2015-04-16,104.5232
2015-04-17,104.5232
2015-04-20,101.5569
2015-04-21,103.7541
2015-04-22,103.7541
2015-04-23,106.2217
2015-04-24,104.3663
2015-04-27,104.3663
2015-04-28,104.4823
2015-04-29,105.0642
2015-04-30,103.9767
2015-05-04,104.8874
2015-05-05,101.8966
2015-05-06,100.3073
2015-05-07,99.5441
2015-05-08,99.6499
2015-05-11,100.851
2015-05-12,102.4647
2015-05-13,101.3376
2015-05-14,102.6578
2015-05-15,101.0509
2015-05-18,98.9008
2015-05-19,101.3493
2015-05-20,99.3161
2015-05-21,102.064
2015-05-22,105.2704
2015-05-25,105.2704
2015-05-26,105.2704
2015-05-27,105.2704
2015-05-28,105.2704
2015-05-29,100.1879
2015-06-01,102.1375
2015-06-02,102.7823
2015-06-03,100.9186
2015-06-04,103.928
2015-06-05,103.8611
2015-06-08,103.8611
2015-06-09,104.4024
2015-06-10,102.8072
2015-06-11,101.1355
2015-06-12,101.5631
2015-06-15,99.0005
2015-06-16,94.4384
2015-06-17,95.6209
2015-06-18,88.6346
2015-06-19,88.6346
2015-06-23,94.257
2015-06-24,94.9099
2015-06-25,91.6406
2015-06-26,91.6406
2015-06-29,85.1327
2015-06-30,93.8486
2015-07-01,89.561
2015-07-02,88.1974
2015-07-03,88.1974
2015-07-06,92.5787
2015-07-07,95.3047
2015-07-08,95.3047
2015-07-09,94.6753
2015-07-10,99.1863
2015-07-13,99.1689
2015-07-14,94.2477
2015-07-15,91.3413
2015-07-16,91.8286
2015-07-17,96.5239
2015-07-20,92.2967
2015-07-21,92.4784
2015-07-22,90.746
2015-07-23,96.7781
2015-07-24,91.9332
2015-07-27,91.9332
2015-07-28,91.9332
2015-07-29,90.79
2015-07-30,90.79
2015-07-31,90.79
2015-08-03,90.79
2015-08-04,92.8014
2015-08-05,89.8865
2015-08-06,89.5166
2015-08-07,92.4842
2015-08-10,97.3888
2015-08-11,96.3741
2015-08-12,95.878
2015-08-13,96.6904
2015-08-14,97.3805
2015-08-17,94.658
2015-08-18,94.658
2015-08-19,91.2505
2015-08-20,91.2505
2015-08-21,91.2505
2015-08-24,91.2505
2015-08-25,91.2505
2015-08-26,91.2505
2015-08-27,91.2505
2015-08-28,97.1264
2015-08-31,97.7774
2015-09-01,97.4094
2015-09-02,97.9877
2015-09-07,98.7343
2015-09-08,101.2459
2015-09-09,102.5504
2015-09-10,102.076
2015-09-11,102.4168
2015-09-14,102.4556
2015-09-15,102.3086
2015-09-16,106.6446
2015-09-17,108.135
2015-09-18,106.8017
2015-09-21,106.4431
2015-09-22,107.304
2015-09-23,103.1863
2015-09-24,103.1863
2015-09-25,103.1863
2015-09-28,101.0705
2015-09-29,101.0705
2015-09-30,101.0705
2015-10-08,103.547
2015-10-09,104.7887
2015-10-12,104.7887
2015-10-13,104.9204
2015-10-14,104.4977
2015-10-15,106.5957
2015-10-16,107.1105
2015-10-19,105.2192
2015-10-20,104.9258
2015-10-21,102.8234
2015-10-22,104.5673
2015-10-23,105.1479
2015-10-26,105.1238
2015-10-27,104.7884
2015-10-28,101.9359
2015-10-29,101.5518
2015-10-30,101.7669
2015-11-02,100.363
2015-11-03,99.9519
2015-11-04,105.2022
2015-11-05,106.4092
2015-11-06,106.4092
2015-11-09,106.4092
2015-11-10,101.2676
2015-11-11,99.3916
2015-11-12,97.1661
2015-11-13,97.1997
2015-11-16,97.2313
2015-11-17,98.1252
2015-11-18,98.7352
2015-11-19,99.6228
2015-11-20,100.3574
2015-11-23,102.9549
2015-11-24,101.9212
2015-11-25,100.7496
2015-11-26,100.7496
2015-11-27,100.7496
2015-11-30,99.5409
2015-12-01,99.3036
2015-12-02,100.5685
2015-12-03,100.6035
2015-12-04,98.4489
2015-12-07,97.3044
2015-12-08,96.7731
2015-12-09,98.5147
2015-12-10,98.0017
2015-12-11,96.536
2015-12-14,99.7994
2015-12-15,96.3651
2015-12-16,96.6573
2015-12-17,98.9998
2015-12-18,100.7205
2015-12-21,106.7501
2015-12-22,104.0082
2015-12-23,105.0247
2015-12-24,105.0247
2015-12-25,105.0247
2015-12-28,105.0247
2015-12-29,99.8956
2015-12-30,99.6922
2015-12-31,99.2029
2016-01-04,99.2029
2016-01-05,99.2029
2016-01-06,92.4742
2016-01-07,92.4742
2016-01-08,92.0557
2016-01-11,92.0557
2016-01-12,92.0557
2016-01-13,92.0557
2016-01-14,94.2613
2016-01-15,94.2613
2016-01-18,91.735
2016-01-19,94.9953
2016-01-20,91.7467
2016-01-21,91.7467
2016-01-22,90.662
2016-01-25,91.198
2016-01-26,91.198
2016-01-27,88.4649
2016-01-28,88.4649
2016-01-29,95.7352
2016-02-01,93.3778
2016-02-02,95.5457
2016-02-03,94.6385
2016-02-04,96.9913
2016-02-05,95.4827
2016-02-15,91.6294
2016-02-16,96.2106
2016-02-17,96.9206
2016-02-18,96.5102
2016-02-19,96.5012
2016-02-22,97.6475
2016-02-23,97.1577
2016-02-24,97.782
2016-02-25,97.782
2016-02-26,97.782
2016-02-29,97.782
2016-03-01,96.7274
2016-03-02,100.4612
2016-03-03,100.3482
2016-03-04,103.5513
2016-03-07,103.1096
2016-03-08,103.5157
2016-03-09,101.9525
2016-03-10,100.9508
2016-03-11,100.9586
2016-03-14,102.5792
2016-03-15,101.1959
2016-03-16,104.1006
2016-03-17,106.4041
2016-03-18,107.618
2016-03-21,107.618
2016-03-22,106.3295
2016-03-23,105.6359
2016-03-24,105.6359
2016-03-25,105.6359
2016-03-28,105.6359
2016-03-29,100.6879
2016-03-30,103.5763
2016-03-31,103.487
2016-04-01,104.5975
2016-04-05,105.2021
2016-04-06,103.1748
2016-04-07,100.5176
2016-04-08,99.3036
2016-04-11,100.0831
2016-04-12,99.8145
2016-04-13,101.4743
2016-04-14,101.712
2016-04-15,101.6037
2016-04-18,101.0592
2016-04-19,101.3183
2016-04-20,99.2241
2016-04-21,99.9673
2016-04-22,100.5927
2016-04-25,99.8711
2016-04-26,100.2588
2016-04-27,99.6136
2016-04-28,99.3015
2016-04-29,99.0427
2016-05-03,100.499
2016-05-04,99.9721
2016-05-05,99.9845
2016-05-06,98.7707
2016-05-09,98.7707
2016-05-10,100.4472
2016-05-11,102.0651
2016-05-12,101.869
2016-05-13,101.5988
2016-05-16,100.046
2016-05-17,100.3014
2016-05-18,99.3552
2016-05-19,99.0792
2016-05-20,98.0747
2016-05-23,97.7912
2016-05-24,99.7722
2016-05-25,100.3809
2016-05-26,100.8501
2016-05-27,101.4155
2016-05-30,100.0326
2016-05-31,100.0326
2016-06-01,101.6295
2016-06-02,98.7981
2016-06-03,99.3725
2016-06-06,99.4498
2016-06-07,98.9472
2016-06-08,100.591
2016-06-13,96.9251
2016-06-14,97.7702
2016-06-15,98.9279
2016-06-16,97.6201
2016-06-17,98.9937
2016-06-20,99.8423
2016-06-21,100.0773
2016-06-22,101.228
2016-06-23,100.3966
2016-06-24,98.2663
2016-06-27,100.4414
2016-06-28,100.3828
2016-06-29,100.3828
2016-06-30,101.0771
2016-07-01,101.3195
2016-07-04,105.302
2016-07-05,101.9718
2016-07-06,101.0815
2016-07-07,101.6805
2016-07-08,102.6534
2016-07-11,102.0643
2016-07-12,102.0643
2016-07-13,103.692
2016-07-14,102.8691
2016-07-15,102.2015
2016-07-18,101.7297
2016-07-19,102.2741
2016-07-20,101.7445
2016-07-21,101.5944
2016-07-22,100.6712
2016-07-25,100.1573
2016-07-26,101.4599
2016-07-27,101.767
2016-07-28,101.6221
2016-07-29,101.6793
2016-08-01,100.7361
2016-08-02,100.3733
2016-08-03,100.1495
2016-08-04,100.0494
2016-08-05,100.3633
2016-08-08,101.785
2016-08-09,104.4113
2016-08-10,104.5684
2016-08-11,108.3204
2016-08-12,109.5264
2016-08-15,109.5264
2016-08-16,105.9572
2016-08-17,105.2265
2016-08-18,105.4141
2016-08-19,105.9348
2016-08-22,103.8638
2016-08-23,103.7142
2016-08-24,103.5637
2016-08-25,103.5637
2016-08-26,103.9325
2016-08-29,103.2028
2016-08-30,102.6936
2016-08-31,102.0932
2016-09-01,100.321
2016-09-02,98.9091
2016-09-05,99.5722
2016-09-06,100.5157
2016-09-07,101.3458
2016-09-08,101.6738
2016-09-09,103.3193
2016-09-12,99.4747
2016-09-13,98.404
2016-09-14,96.5824
2016-09-19,97.0725
2016-09-20,97.9457
2016-09-21,97.5003
2016-09-22,96.1497
2016-09-23,95.7213
2016-09-26,95.7213
2016-09-27,94.8996
2016-09-28,96.3697
2016-09-29,96.3697
2016-09-30,97.5156
2016-10-10,101.3027
2016-10-11,101.4187
2016-10-12,100.3804
2016-10-13,101.1794
2016-10-14,102.0947
2016-10-17,100.1319
2016-10-18,102.1331
2016-10-19,99.6589
2016-10-20,99.8095
2016-10-21,100.9227
2016-10-24,105.6647
2016-10-25,105.1331
2016-10-26,103.2514
2016-10-27,102.3275
2016-10-28,102.0382
2016-10-31,101.8544
2016-11-01,102.9019
2016-11-02,101.4692
2016-11-03,104.179
2016-11-04,102.3875
2016-11-07,102.4196
2016-11-08,101.9728
2016-11-09,101.8967
2016-11-10,102.9684
2016-11-11,105.4782
2016-11-14,107.3356
2016-11-15,107.2129
2016-11-16,107.1801
2016-11-17,108.3765
2016-11-18,108.7445
2016-11-21,108.7445
2016-11-22,109.7921
2016-11-23,110.898
2016-11-24,112.8529
2016-11-25,110.3986
2016-11-28,109.1723
2016-11-29,109.1723
2016-11-30,98.4647
2016-12-01,99.5188
2016-12-02,98.5316
2016-12-05,98.5316
