,USDCNH
2014-01-01,6.0568
2014-01-02,6.0516
2014-01-03,6.0494
2014-01-04,6.0494
2014-01-05,6.0494
2014-01-06,6.0444
2014-01-07,6.0396
2014-01-08,6.0392
2014-01-09,6.0396
2014-01-10,6.033
2014-01-11,6.033
2014-01-12,6.033
2014-01-13,6.0279
2014-01-14,6.0194
2014-01-15,6.0232
2014-01-16,6.0246
2014-01-17,6.0235
2014-01-18,6.0235
2014-01-19,6.0235
2014-01-20,6.0196
2014-01-21,6.0322
2014-01-22,6.0295
2014-01-23,6.0382
2014-01-24,6.0429999999999975
2014-01-25,6.0429999999999975
2014-01-26,6.0429999999999975
2014-01-27,6.0381
2014-01-28,6.0304
2014-01-29,6.0312
2014-01-30,6.0351
2014-01-31,6.0352
2014-02-01,6.0352
2014-02-02,6.0352
2014-02-03,6.0337
2014-02-04,6.028
2014-02-05,6.0274
2014-02-06,6.0256
2014-02-07,6.0275
2014-02-08,6.0275
2014-02-09,6.0275
2014-02-10,6.0358
2014-02-11,6.0359
2014-02-12,6.0371
2014-02-13,6.0405
2014-02-14,6.0353
2014-02-15,6.0353
2014-02-16,6.0353
2014-02-17,6.0355
2014-02-18,6.0376
2014-02-19,6.0498
2014-02-20,6.0717
2014-02-21,6.0929
2014-02-22,6.0929
2014-02-23,6.0929
2014-02-24,6.0956
2014-02-25,6.1164
2014-02-26,6.1193
2014-02-27,6.1003
2014-02-28,6.12
2014-03-01,6.12
2014-03-02,6.12
2014-03-03,6.1268
2014-03-04,6.1305
2014-03-05,6.121
2014-03-06,6.1005
2014-03-07,6.1115
2014-03-08,6.1115
2014-03-09,6.1115
2014-03-10,6.1372
2014-03-11,6.141
2014-03-12,6.1416
2014-03-13,6.1439
2014-03-14,6.1564
2014-03-15,6.1564
2014-03-16,6.1564
2014-03-17,6.159
2014-03-18,6.1775
2014-03-19,6.1918
2014-03-20,6.2069
2014-03-21,6.2015
2014-03-22,6.2015
2014-03-23,6.2015
2014-03-24,6.1811
2014-03-25,6.1852
2014-03-26,6.2021
2014-03-27,6.2079999999999975
2014-03-28,6.2043
2014-03-29,6.2043
2014-03-30,6.2043
2014-03-31,6.2154
2014-04-01,6.2056
2014-04-02,6.2048
2014-04-03,6.2156
2014-04-04,6.2131
2014-04-05,6.2131
2014-04-06,6.2131
2014-04-07,6.2104
2014-04-08,6.1909
2014-04-09,6.1914
2014-04-10,6.2103
2014-04-11,6.2099
2014-04-12,6.2099
2014-04-13,6.2099
2014-04-14,6.2232
2014-04-15,6.2249
2014-04-16,6.2254
2014-04-17,6.2211
2014-04-18,6.2231
2014-04-19,6.2231
2014-04-20,6.2231
2014-04-21,6.2287
2014-04-22,6.2376
2014-04-23,6.2386
2014-04-24,6.2524
2014-04-25,6.2578
2014-04-26,6.2578
2014-04-27,6.2578
2014-04-28,6.2515
2014-04-29,6.2586
2014-04-30,6.2525
2014-05-01,6.2525
2014-05-02,6.2557
