,margin_balance,short_balance
2015-01-05,1029580000000.0,8344319551.0
2015-01-06,1037730000000.0,8265620882.0
2015-01-07,1049300000000.0,8501781258.0
2015-01-08,1053020000000.0,7875677919.0
2015-01-09,1060500000000.0,7460002269.0
2015-01-12,1071950000000.0,7066855373.0
2015-01-13,1078120000000.0,6939342796.0
2015-01-14,1090950000000.0,6717828583.0
2015-01-15,1106180000000.0,7022084617.0
2015-01-16,1111360000000.0,7041318483.0
2015-01-19,1092850000000.0,5676653383.0
2015-01-20,1090890000000.0,5870855037.0
2015-01-21,1095620000000.0,6919979905.0
2015-01-22,1105910000000.0,7000347318.0
2015-01-23,1112020000000.0,6822697387.0
2015-01-26,1120150000000.0,7143779387.0
2015-01-27,1124590000000.0,6846944580.0
2015-01-28,1127790000000.0,6595979183.0
2015-01-29,1130290000000.0,6299976172.0
2015-01-30,1125930000000.0,5920080294.0
2015-02-02,1127430000000.0,5525046126.0
2015-02-03,1126700000000.0,6025434511.0
2015-02-04,1129480000000.0,5956966895.0
2015-02-05,1135360000000.0,5782474105.0
2015-02-06,1138160000000.0,4956494112.0
2015-02-09,1147810000000.0,4855595060.0
2015-02-10,1164130000000.0,4905657148.0
2015-02-11,1173960000000.0,4986471043.0
2015-02-12,1172920000000.0,4913513573.0
2015-02-13,1139170000000.0,4954214394.0
2015-02-16,1132680000000.0,4963808944.0
2015-02-17,1105780000000.0,4713739776.0
2015-02-25,1135600000000.0,5055968131.0
2015-02-26,1147550000000.0,5619686731.0
2015-02-27,1152380000000.0,5553513712.0
2015-03-02,1172470000000.0,5864205163.0
2015-03-03,1191800000000.0,5603580768.0
2015-03-04,1204700000000.0,5826616182.0
2015-03-05,1219200000000.0,5563068741.0
2015-03-06,1226710000000.0,5296564754.0
2015-03-09,1241670000000.0,5154089023.0
2015-03-10,1262500000000.0,4828759213.0
2015-03-11,1286020000000.0,4535330047.0
2015-03-12,1308210000000.0,4818265226.0
2015-03-13,1312200000000.0,4866129569.0
2015-03-16,1304890000000.0,5506095900.0
2015-03-17,1314500000000.0,5812954560.0
2015-03-18,1335190000000.0,6452333997.0
2015-03-19,1356910000000.0,6321057434.0
2015-03-20,1376980000000.0,6618729720.0
2015-03-23,1392430000000.0,7250682689.0
2015-03-24,1414080000000.0,7043307452.0
2015-03-25,1435650000000.0,7096668040.0
2015-03-26,1451620000000.0,7217510390.0
2015-03-27,1458780000000.0,7440523713.0
2015-03-30,1476470000000.0,8218248698.0
2015-03-31,1485880000000.0,8036275515.0
2015-04-01,1509950000000.0,8436667610.0
2015-04-02,1529820000000.0,8476368677.0
2015-04-03,1545020000000.0,8616564901.0
2015-04-07,1576240000000.0,9174467358.0
2015-04-08,1598030000000.0,9125190076.0
2015-04-09,1622300000000.0,10311318137.0
2015-04-10,1643070000000.0,8987295019.0
2015-04-13,1671920000000.0,8944582963.0
2015-04-14,1699430000000.0,8542505618.0
2015-04-15,1721500000000.0,8376857442.0
2015-04-16,1737500000000.0,8697510421.0
2015-04-17,1725140000000.0,8884905283.0
2015-04-20,1716900000000.0,8628590556.0
2015-04-21,1730120000000.0,8912233578.0
2015-04-22,1751680000000.0,9507278214.0
2015-04-23,1769600000000.0,9402289667.0
2015-04-24,1780420000000.0,9017329251.0
2015-04-27,1805890000000.0,9450154015.0
2015-04-28,1813500000000.0,9155634579.0
2015-04-29,1825450000000.0,9108795476.0
2015-04-30,1831020000000.0,8848915752.0
2015-05-04,1857290000000.0,9040740901.0
2015-05-05,1867520000000.0,7589852302.0
2015-05-06,1889870000000.0,7114809078.0
2015-05-07,1899980000000.0,6202518090.0
2015-05-08,1875710000000.0,6400476901.0
2015-05-11,1882310000000.0,7584194143.0
2015-05-12,1895160000000.0,8223614518.0
2015-05-13,1914050000000.0,8434198569.0
2015-05-14,1926400000000.0,8339825944.0
2015-05-15,1928940000000.0,7476227605.0
2015-05-18,1947850000000.0,7225444168.0
2015-05-19,1976880000000.0,7380758219.0
2015-05-20,2005740000000.0,7275338330.0
2015-05-21,2024780000000.0,7826097129.0
2015-05-22,2013990000000.0,8409774596.0
