,thscode,ths_option_call_volume_option,ths_option_put_volume_option,ths_option_call_oi_option,ths_option_put_oi_option,ths_option_total_oi_pcr_option
2016-01-04,510050.SH,90065,85930,244727,197719,80.7917
2016-01-05,510050.SH,156974,137836,266722,188715,70.7534
2016-01-06,510050.SH,102273,63090,274744,193004,70.2487
2016-01-07,510050.SH,23185,21779,278031,193309,69.5279
2016-01-08,510050.SH,176273,151371,308551,183836,59.5804
2016-01-11,510050.SH,146515,121339,339452,186717,55.0054
2016-01-12,510050.SH,147441,98059,359165,193187,53.7878
2016-01-13,510050.SH,116960,91774,377266,198951,52.7349
2016-01-14,510050.SH,145262,111460,402085,198446,49.3542
2016-01-15,510050.SH,129305,116280,415508,198769,47.8376
2016-01-18,510050.SH,129638,93912,421214,200822,47.677
2016-01-19,510050.SH,153437,100890,422001,206498,48.9331
2016-01-20,510050.SH,111013,101673,431338,209083,48.4731
2016-01-21,510050.SH,131225,119552,437032,205839,47.0993
2016-01-22,510050.SH,119405,116788,436340,202049,46.3054
2016-01-25,510050.SH,89601,70573,442645,198292,44.7971
2016-01-26,510050.SH,134710,126931,464609,178845,38.4937
2016-01-27,510050.SH,158369,139477,307956,155778,50.5845
2016-01-28,510050.SH,110709,73065,336715,160470,47.6575
2016-01-29,510050.SH,132511,84383,354580,172346,48.6057
2016-02-01,510050.SH,107089,68594,367173,171469,46.6998
2016-02-02,510050.SH,87740,60880,373015,174546,46.7933
2016-02-03,510050.SH,79442,77505,382402,180280,47.1441
2016-02-04,510050.SH,80715,69061,383397,187859,48.9986
2016-02-05,510050.SH,59774,42922,392725,192970,49.1362
2016-02-15,510050.SH,85213,87562,406650,189658,46.6391
2016-02-16,510050.SH,120150,87843,399307,197097,49.3598
2016-02-17,510050.SH,90496,77660,396212,200506,50.6057
2016-02-18,510050.SH,98304,72016,389565,203258,52.1756
2016-02-19,510050.SH,82284,90232,389665,198423,50.9214
2016-02-22,510050.SH,140949,100456,378929,208997,55.1547
2016-02-23,510050.SH,92112,74434,388951,214772,55.2183
2016-02-24,510050.SH,90211,73032,281677,172399,61.2045
2016-02-25,510050.SH,123988,134563,314347,185165,58.9046
2016-02-26,510050.SH,95040,97321,322151,185438,57.5624
2016-02-29,510050.SH,129252,120529,342310,190943,55.7807
2016-03-01,510050.SH,129598,119337,343654,199634,58.0916
2016-03-02,510050.SH,181592,123791,334574,211298,63.1543
2016-03-03,510050.SH,128604,92331,338802,222383,65.638
2016-03-04,510050.SH,202119,153395,323841,247197,76.3328
2016-03-07,510050.SH,134630,104050,329504,258068,78.3201
2016-03-08,510050.SH,156857,152128,336103,264703,78.7565
2016-03-09,510050.SH,108524,107016,347779,265816,76.4324
2016-03-10,510050.SH,92245,78792,352046,269765,76.6278
2016-03-11,510050.SH,115058,108693,364115,272046,74.7143
2016-03-14,510050.SH,170978,136254,367203,280180,76.3011
2016-03-15,510050.SH,136833,109610,371043,282001,76.0022
2016-03-16,510050.SH,153548,130041,356346,303122,85.064
2016-03-17,510050.SH,188802,153246,340308,296424,87.1046
2016-03-18,510050.SH,173378,121958,337838,289290,85.6298
2016-03-21,510050.SH,194263,124535,317993,304963,95.9024
2016-03-22,510050.SH,108873,80584,323980,311890,96.2683
2016-03-23,510050.SH,111534,80706,198049,178939,90.3509
2016-03-24,510050.SH,94716,77093,220474,200221,90.8139
2016-03-25,510050.SH,71785,71226,235408,207559,88.1699
2016-03-28,510050.SH,97303,72824,252043,220937,87.6585
2016-03-29,510050.SH,91439,70111,272850,230108,84.335
2016-03-30,510050.SH,97604,76407,271340,235184,86.675
2016-03-31,510050.SH,88161,60802,283423,246008,86.7989
2016-04-01,510050.SH,110946,90969,285928,262686,91.8714
2016-04-05,510050.SH,117923,84634,292213,274310,93.8733
2016-04-06,510050.SH,79844,64397,305427,285610,93.5117
2016-04-07,510050.SH,106192,91530,316646,288177,91.0092
2016-04-08,510050.SH,110979,95860,328890,291799,88.7224
2016-04-11,510050.SH,117857,92393,329096,301080,91.48700000000001
2016-04-12,510050.SH,84879,71749,341559,311580,91.2229
2016-04-13,510050.SH,180971,139616,330349,320104,96.8987
2016-04-14,510050.SH,104022,82227,342793,331175,96.6108
2016-04-15,510050.SH,99037,78659,357755,343435,95.9973
2016-04-18,510050.SH,108995,74672,370988,353685,95.336
2016-04-19,510050.SH,94852,73994,380756,358674,94.2005
2016-04-20,510050.SH,214380,193628,390804,358871,91.8289
2016-04-21,510050.SH,159165,129780,378923,361304,95.3502
2016-04-22,510050.SH,117652,97978,383422,368054,95.9919
2016-04-25,510050.SH,110313,91797,383790,366683,95.5426
2016-04-26,510050.SH,115347,89730,386839,366597,94.7673
2016-04-27,510050.SH,101441,77163,275725,245674,89.1011
2016-04-28,510050.SH,104963,92842,304489,269249,88.4265
2016-04-29,510050.SH,75615,68341,324023,280629,86.6077
2016-05-03,510050.SH,131666,112575,330110,287075,86.9634
2016-05-04,510050.SH,76356,68472,342220,301407,88.074
2016-05-05,510050.SH,67527,62496,357368,312489,87.4418
2016-05-06,510050.SH,136842,148613,379563,331037,87.2153
2016-05-09,510050.SH,181804,199452,405776,326476,80.4572
2016-05-10,510050.SH,122275,108040,426725,333656,78.1899
2016-05-11,510050.SH,122141,101657,436993,343455,78.5951
2016-05-12,510050.SH,144849,139764,452537,351619,77.6995
2016-05-13,510050.SH,90099,81526,459849,356717,77.5726
2016-05-16,510050.SH,112255,105633,466548,360977,77.3719
2016-05-17,510050.SH,102091,94616,476673,367560,77.1095
2016-05-18,510050.SH,143495,143418,489679,378031,77.1998
2016-05-19,510050.SH,100214,84629,495515,380317,76.7519
2016-05-20,510050.SH,88321,90366,494400,381228,77.1092
2016-05-23,510050.SH,128101,109777,492042,378990,77.0239
2016-05-24,510050.SH,103964,93244,502524,378837,75.3868
2016-05-25,510050.SH,96915,83977,368774,320676,86.9573
2016-05-26,510050.SH,124801,125472,403959,347607,86.0501
2016-05-27,510050.SH,82224,75318,418754,364112,86.9513
2016-05-30,510050.SH,103817,90446,433673,382769,88.2621
2016-05-31,510050.SH,275404,204926,411660,405951,98.6132
2016-06-01,510050.SH,142426,92272,438796,416576,94.9361
2016-06-02,510050.SH,94322,79203,460228,421623,91.6118
2016-06-03,510050.SH,133430,101665,475852,434330,91.2742
2016-06-06,510050.SH,98692,76221,490534,443118,90.3338
2016-06-07,510050.SH,78289,54163,508515,451032,88.6959
2016-06-08,510050.SH,96035,87967,526929,459343,87.1736
2016-06-13,510050.SH,166135,148208,546830,455532,83.3041
2016-06-14,510050.SH,160809,147591,548382,452055,82.4343
2016-06-15,510050.SH,219580,178271,549006,461434,84.04899999999998
2016-06-16,510050.SH,134960,113841,556285,463968,83.4047
2016-06-17,510050.SH,169093,123695,544368,464276,85.2872
2016-06-20,510050.SH,132776,105987,547042,465454,85.0856
2016-06-21,510050.SH,177473,122335,537688,468440,87.1212
2016-06-22,510050.SH,124753,88798,329404,306143,92.9385
2016-06-23,510050.SH,84675,78842,352790,331538,93.976
2016-06-24,510050.SH,158969,182525,374666,362131,96.6544
2016-06-27,510050.SH,97480,92826,390150,368770,94.5201
2016-06-28,510050.SH,95510,88864,405036,384717,94.9834
2016-06-29,510050.SH,126449,102695,413808,396490,95.815
2016-06-30,510050.SH,102743,97954,409415,414022,101.1253
2016-07-01,510050.SH,84515,75600,418558,433053,103.4631
2016-07-04,510050.SH,204563,159844,413175,448205,108.4782
2016-07-05,510050.SH,144006,111056,428362,463517,108.2068
2016-07-06,510050.SH,119146,105902,434805,473462,108.8907
2016-07-07,510050.SH,123159,93923,442657,487287,110.0823
2016-07-08,510050.SH,102819,86591,456184,491426,107.7254
2016-07-11,510050.SH,199477,163798,448748,497493,110.8624
2016-07-12,510050.SH,284157,220188,438438,501329,114.3443
2016-07-13,510050.SH,338671,215783,434675,498761,114.7434
2016-07-14,510050.SH,134111,101988,457390,510315,111.5711
2016-07-15,510050.SH,131760,104195,466988,509372,109.07600000000001
2016-07-18,510050.SH,147444,105654,478941,518435,108.2461
2016-07-19,510050.SH,199056,174442,496020,519328,104.699
2016-07-20,510050.SH,115210,101699,509562,524470,102.9256
2016-07-21,510050.SH,156111,115087,508695,528493,103.8919
2016-07-22,510050.SH,149181,119958,522846,523069,100.0427
2016-07-25,510050.SH,145350,100566,525740,521647,99.2215
2016-07-26,510050.SH,193567,123704,519214,527302,101.5577
2016-07-27,510050.SH,300552,239071,429144,367149,85.5538
2016-07-28,510050.SH,178637,160035,453631,395010,87.0774
2016-07-29,510050.SH,94582,94959,466524,410965,88.0909
2016-08-01,510050.SH,127696,125578,482753,430725,89.2226
2016-08-02,510050.SH,105401,92704,496637,442707,89.141
2016-08-03,510050.SH,107839,87595,508837,451398,88.7117
2016-08-04,510050.SH,138680,122393,516771,458191,88.6642
2016-08-05,510050.SH,132592,104913,532519,471520,88.5452
