sec_id,date,update_date,data
US_CN_00133,1962-01-02,2025-09-01,4.06
US_CN_00133,1962-01-03,2025-09-01,4.03
US_CN_00133,1962-01-04,2025-09-01,3.99
US_CN_00133,1962-01-05,2025-09-01,4.022
US_CN_00133,1962-01-08,2025-09-01,4.032
US_CN_00133,1962-01-09,2025-09-01,4.052
US_CN_00133,1962-01-10,2025-09-01,4.072
US_CN_00133,1962-01-11,2025-09-01,4.082
US_CN_00133,1962-01-12,2025-09-01,4.082
US_CN_00133,1962-01-15,2025-09-01,4.102
US_CN_00133,1962-01-16,2025-09-01,4.132
US_CN_00133,1962-01-17,2025-09-01,4.122
US_CN_00133,1962-01-18,2025-09-01,4.112
US_CN_00133,1962-01-19,2025-09-01,4.112
US_CN_00133,1962-01-22,2025-09-01,4.092
US_CN_00133,1962-01-23,2025-09-01,4.112
US_CN_00133,1962-01-24,2025-09-01,4.102
US_CN_00133,1962-01-25,2025-09-01,4.112
US_CN_00133,1962-01-26,2025-09-01,4.112
US_CN_00133,1962-01-29,2025-09-01,4.122
US_CN_00133,1962-01-30,2025-09-01,4.112
US_CN_00133,1962-01-31,2025-09-01,4.102
US_CN_00133,1962-02-01,2025-09-01,4.092
US_CN_00133,1962-02-02,2025-09-01,4.082
US_CN_00133,1962-02-05,2025-09-01,4.072
US_CN_00133,1962-02-06,2025-09-01,4.062
US_CN_00133,1962-02-07,2025-09-01,4.072
US_CN_00133,1962-02-08,2025-09-01,4.072
US_CN_00133,1962-02-09,2025-09-01,4.052
US_CN_00133,1962-02-13,2025-09-01,4.032
US_CN_00133,1962-02-14,2025-09-01,4.032
US_CN_00133,1962-02-15,2025-09-01,4.022
US_CN_00133,1962-02-16,2025-09-01,4.022
US_CN_00133,1962-02-19,2025-09-01,4.102
US_CN_00133,1962-02-20,2025-09-01,4.052
US_CN_00133,1962-02-21,2025-09-01,4.032
US_CN_00133,1962-02-23,2025-09-01,4.022
US_CN_00133,1962-02-26,2025-09-01,4.002
US_CN_00133,1962-02-27,2025-09-01,4.012
US_CN_00133,1962-02-28,2025-09-01,4.002
US_CN_00133,1962-03-01,2025-09-01,3.982
US_CN_00133,1962-03-02,2025-09-01,3.982
US_CN_00133,1962-03-05,2025-09-01,4.002
US_CN_00133,1962-03-06,2025-09-01,4.012
US_CN_00133,1962-03-07,2025-09-01,4.002
US_CN_00133,1962-03-08,2025-09-01,3.982
US_CN_00133,1962-03-09,2025-09-01,3.962
US_CN_00133,1962-03-12,2025-09-01,3.942
US_CN_00133,1962-03-13,2025-09-01,3.922
US_CN_00133,1962-03-14,2025-09-01,3.932
US_CN_00133,1962-03-15,2025-09-01,3.962
US_CN_00133,1962-03-16,2025-09-01,3.962
US_CN_00133,1962-03-19,2025-09-01,3.932
US_CN_00133,1962-03-20,2025-09-01,3.912
US_CN_00133,1962-03-21,2025-09-01,3.862
US_CN_00133,1962-03-22,2025-09-01,3.832
US_CN_00133,1962-03-23,2025-09-01,3.872
US_CN_00133,1962-03-26,2025-09-01,3.892
US_CN_00133,1962-03-27,2025-09-01,3.902
US_CN_00133,1962-03-28,2025-09-01,3.902
US_CN_00133,1962-03-29,2025-09-01,3.902
US_CN_00133,1962-03-30,2025-09-01,3.862
US_CN_00133,1962-04-02,2025-09-01,3.862
US_CN_00133,1962-04-03,2025-09-01,3.832
US_CN_00133,1962-04-04,2025-09-01,3.782
US_CN_00133,1962-04-05,2025-09-01,3.842
US_CN_00133,1962-04-06,2025-09-01,3.812
US_CN_00133,1962-04-09,2025-09-01,3.832
US_CN_00133,1962-04-10,2025-09-01,3.832
US_CN_00133,1962-04-11,2025-09-01,3.872
US_CN_00133,1962-04-12,2025-09-01,3.862
US_CN_00133,1962-04-13,2025-09-01,3.852
US_CN_00133,1962-04-16,2025-09-01,3.832
US_CN_00133,1962-04-17,2025-09-01,3.822
US_CN_00133,1962-04-18,2025-09-01,3.812
US_CN_00133,1962-04-19,2025-09-01,3.822
US_CN_00133,1962-04-23,2025-09-01,3.862
US_CN_00133,1962-04-24,2025-09-01,3.872
US_CN_00133,1962-04-25,2025-09-01,3.882
US_CN_00133,1962-04-26,2025-09-01,3.892
US_CN_00133,1962-04-27,2025-09-01,3.862
US_CN_00133,1962-04-30,2025-09-01,3.862
US_CN_00133,1962-05-01,2025-09-01,3.852
US_CN_00133,1962-05-02,2025-09-01,3.862
US_CN_00133,1962-05-03,2025-09-01,3.862
US_CN_00133,1962-05-04,2025-09-01,3.872
US_CN_00133,1962-05-07,2025-09-01,3.862
US_CN_00133,1962-05-08,2025-09-01,3.852
US_CN_00133,1962-05-09,2025-09-01,3.822
US_CN_00133,1962-05-10,2025-09-01,3.832
US_CN_00133,1962-05-11,2025-09-01,3.822
US_CN_00133,1962-05-14,2025-09-01,3.852
US_CN_00133,1962-05-15,2025-09-01,3.872
US_CN_00133,1962-05-16,2025-09-01,3.862
